journal_id,line_number,posting_date,account_code,debit_amount,credit_amount,currency,external_reference,narration
jrn_1042_0001,1,2026-04-02,110000,4712.37,0.00,INR,set_1042_0001,Synthetic bank receipt
jrn_1042_0001,2,2026-04-02,510000,120.88,0.00,INR,set_1042_0001,Synthetic gateway fee expense
jrn_1042_0001,3,2026-04-02,140000,21.75,0.00,INR,set_1042_0001,Synthetic input GST
jrn_1042_0001,4,2026-04-02,120000,0.00,4855.00,INR,set_1042_0001,Synthetic clearing credit
jrn_1042_0002,1,2026-04-03,110000,5982.71,0.00,INR,set_1042_0002,Synthetic bank receipt
jrn_1042_0002,2,2026-04-03,510000,111.27,0.00,INR,set_1042_0002,Synthetic gateway fee expense
jrn_1042_0002,3,2026-04-03,140000,20.02,0.00,INR,set_1042_0002,Synthetic input GST
jrn_1042_0002,4,2026-04-03,120000,0.00,6114.00,INR,set_1042_0002,Synthetic clearing credit
jrn_1042_0003,1,2026-04-04,110000,6249.69,0.00,INR,set_1042_0003,Synthetic bank receipt
jrn_1042_0003,2,2026-04-04,510000,162.98,0.00,INR,set_1042_0003,Synthetic gateway fee expense
jrn_1042_0003,3,2026-04-04,140000,29.33,0.00,INR,set_1042_0003,Synthetic input GST
jrn_1042_0003,4,2026-04-04,120000,0.00,6442.00,INR,set_1042_0003,Synthetic clearing credit
jrn_1042_0004,1,2026-04-05,110000,5903.82,0.00,INR,set_1042_0004,Synthetic bank receipt
jrn_1042_0004,2,2026-04-05,510000,152.70,0.00,INR,set_1042_0004,Synthetic gateway fee expense
jrn_1042_0004,3,2026-04-05,140000,27.48,0.00,INR,set_1042_0004,Synthetic input GST
jrn_1042_0004,4,2026-04-05,120000,0.00,6084.00,INR,set_1042_0004,Synthetic clearing credit
jrn_1042_0005,1,2026-04-06,110000,2786.48,0.00,INR,set_1042_0005,Synthetic bank receipt
jrn_1042_0005,2,2026-04-06,510000,52.99,0.00,INR,set_1042_0005,Synthetic gateway fee expense
jrn_1042_0005,3,2026-04-06,140000,9.53,0.00,INR,set_1042_0005,Synthetic input GST
jrn_1042_0005,4,2026-04-06,120000,0.00,2849.00,INR,set_1042_0005,Synthetic clearing credit
jrn_1042_0006,1,2026-04-07,110000,3692.46,0.00,INR,set_1042_0006,Synthetic bank receipt
jrn_1042_0006,2,2026-04-07,510000,86.90,0.00,INR,set_1042_0006,Synthetic gateway fee expense
jrn_1042_0006,3,2026-04-07,140000,15.64,0.00,INR,set_1042_0006,Synthetic input GST
jrn_1042_0006,4,2026-04-07,120000,0.00,3795.00,INR,set_1042_0006,Synthetic clearing credit
jrn_1042_0007,1,2026-04-08,110000,3320.90,0.00,INR,set_1042_0007,Synthetic bank receipt
jrn_1042_0007,2,2026-04-08,510000,89.07,0.00,INR,set_1042_0007,Synthetic gateway fee expense
jrn_1042_0007,3,2026-04-08,140000,16.03,0.00,INR,set_1042_0007,Synthetic input GST
jrn_1042_0007,4,2026-04-08,120000,0.00,3426.00,INR,set_1042_0007,Synthetic clearing credit
jrn_1042_0008,1,2026-04-09,110000,5117.18,0.00,INR,set_1042_0008,Synthetic bank receipt
