gateway_event_id,event_type,transaction_id,settlement_id,amount_minor,currency,event_at,status,reference,narration
gwe_1042_000001,PAYMENT,pay_1042_000001,set_1042_0001,69100,INR,2026-04-01T10:00:00+00:00,captured,order_1042_000001,Synthetic captured payment
gwe_1042_000002,PAYMENT,pay_1042_000002,set_1042_0001,10000,INR,2026-04-01T10:00:00+00:00,captured,order_1042_000002,Synthetic captured payment
gwe_1042_000003,PAYMENT,pay_1042_000003,set_1042_0001,102400,INR,2026-04-01T10:00:00+00:00,captured,order_1042_000003,Synthetic captured payment
gwe_1042_000004,PAYMENT,pay_1042_000004,set_1042_0001,137700,INR,2026-04-01T10:00:00+00:00,captured,order_1042_000004,Synthetic captured payment
gwe_1042_000005,PAYMENT,pay_1042_000005,set_1042_0001,166300,INR,2026-04-01T10:00:00+00:00,captured,order_1042_000005,Synthetic captured payment
gwe_fee_1042_0001,FEE,,set_1042_0001,12088,INR,2026-04-01T10:00:00+00:00,processed,set_1042_0001,Synthetic gateway fee
gwe_tax_1042_0001,TAX,,set_1042_0001,2175,INR,2026-04-01T10:00:00+00:00,processed,set_1042_0001,Synthetic GST on gateway fee
gwe_set_1042_0001,SETTLEMENT,,set_1042_0001,471237,INR,2026-04-01T10:00:00+00:00,settled,UTR104200000001,Synthetic net settlement
gwe_1042_000006,PAYMENT,pay_1042_000006,set_1042_0002,94200,INR,2026-04-02T10:00:00+00:00,captured,order_1042_000006,Synthetic captured payment
gwe_1042_000007,PAYMENT,pay_1042_000007,set_1042_0002,54100,INR,2026-04-02T10:00:00+00:00,captured,order_1042_000007,Synthetic captured payment
gwe_1042_000008,PAYMENT,pay_1042_000008,set_1042_0002,196100,INR,2026-04-02T10:00:00+00:00,captured,order_1042_000008,Synthetic captured payment
gwe_1042_000009,PAYMENT,pay_1042_000009,set_1042_0002,189100,INR,2026-04-02T10:00:00+00:00,captured,order_1042_000009,Synthetic captured payment
gwe_1042_000010,PAYMENT,pay_1042_000010,set_1042_0002,77900,INR,2026-04-02T10:00:00+00:00,captured,order_1042_000010,Synthetic captured payment
gwe_fee_1042_0002,FEE,,set_1042_0002,11127,INR,2026-04-02T10:00:00+00:00,processed,set_1042_0002,Synthetic gateway fee
gwe_tax_1042_0002,TAX,,set_1042_0002,2002,INR,2026-04-02T10:00:00+00:00,processed,set_1042_0002,Synthetic GST on gateway fee
gwe_set_1042_0002,SETTLEMENT,,set_1042_0002,598271,INR,2026-04-02T10:00:00+00:00,settled,UTR104200000002,Synthetic net settlement
gwe_1042_000011,PAYMENT,pay_1042_000011,set_1042_0003,29500,INR,2026-04-03T10:00:00+00:00,captured,order_1042_000011,Synthetic captured payment
gwe_1042_000012,PAYMENT,pay_1042_000012,set_1042_0003,151100,INR,2026-04-03T10:00:00+00:00,captured,order_1042_000012,Synthetic captured payment
gwe_1042_000013,PAYMENT,pay_1042_000013,set_1042_0003,194200,INR,2026-04-03T10:00:00+00:00,captured,order_1042_000013,Synthetic captured payment
gwe_1042_000014,PAYMENT,pay_1042_000014,set_1042_0003,93200,INR,2026-04-03T10:00:00+00:00,captured,order_1042_000014,Synthetic captured payment
gwe_1042_000015,PAYMENT,pay_1042_000015,set_1042_0003,176200,INR,2026-04-03T10:00:00+00:00,captured,order_1042_000015,Synthetic captured payment
gwe_fee_1042_0003,FEE,,set_1042_0003,16298,INR,2026-04-03T10:00:00+00:00,processed,set_1042_0003,Synthetic gateway fee
gwe_tax_1042_0003,TAX,,set_1042_0003,2933,INR,2026-04-03T10:00:00+00:00,processed,set_1042_0003,Synthetic GST on gateway fee
gwe_set_1042_0003,SETTLEMENT,,set_1042_0003,624969,INR,2026-04-03T10:00:00+00:00,settled,UTR104200000003,Synthetic net settlement
gwe_1042_000016,PAYMENT,pay_1042_000016,set_1042_0004,107100,INR,2026-04-04T10:00:00+00:00,captured,order_1042_000016,Synthetic captured payment
gwe_1042_000017,PAYMENT,pay_1042_000017,set_1042_0004,123600,INR,2026-04-04T10:00:00+00:00,captured,order_1042_000017,Synthetic captured payment
