gateway_event_id,event_type,transaction_id,settlement_id,amount_minor,currency,event_at,status,reference,narration
gwe_2042_000001,PAYMENT,pay_2042_000001,set_2042_0001,50400,INR,2026-04-01T10:00:00+00:00,captured,order_2042_000001,Synthetic captured payment
gwe_2042_000002,PAYMENT,pay_2042_000002,set_2042_0001,115400,INR,2026-04-01T10:00:00+00:00,captured,order_2042_000002,Synthetic captured payment
gwe_2042_000003,PAYMENT,pay_2042_000003,set_2042_0001,93300,INR,2026-04-01T10:00:00+00:00,captured,order_2042_000003,Synthetic captured payment
gwe_2042_000004,PAYMENT,pay_2042_000004,set_2042_0001,50100,INR,2026-04-01T10:00:00+00:00,captured,order_2042_000004,Synthetic captured payment
gwe_2042_000005,PAYMENT,pay_2042_000005,set_2042_0001,84900,INR,2026-04-01T10:00:00+00:00,captured,order_2042_000005,Synthetic captured payment
gwe_fee_2042_0001,FEE,,set_2042_0001,7645,INR,2026-04-01T10:00:00+00:00,processed,set_2042_0001,Synthetic gateway fee
gwe_tax_2042_0001,TAX,,set_2042_0001,1376,INR,2026-04-01T10:00:00+00:00,processed,set_2042_0001,Synthetic GST on gateway fee
gwe_set_2042_0001,SETTLEMENT,,set_2042_0001,385079,INR,2026-04-01T10:00:00+00:00,settled,UTR204200000001,Synthetic net settlement
gwe_2042_000006,PAYMENT,pay_2042_000006,set_2042_0002,109600,INR,2026-04-02T10:00:00+00:00,captured,order_2042_000006,Synthetic captured payment
gwe_2042_000007,PAYMENT,pay_2042_000007,set_2042_0002,95100,INR,2026-04-02T10:00:00+00:00,captured,order_2042_000007,Synthetic captured payment
gwe_2042_000008,PAYMENT,pay_2042_000008,set_2042_0002,40700,INR,2026-04-02T10:00:00+00:00,captured,order_2042_000008,Synthetic captured payment
gwe_2042_000009,PAYMENT,pay_2042_000009,set_2042_0002,160400,INR,2026-04-02T10:00:00+00:00,captured,order_2042_000009,Synthetic captured payment
gwe_2042_000010,PAYMENT,pay_2042_000010,set_2042_0002,122100,INR,2026-04-02T10:00:00+00:00,captured,order_2042_000010,Synthetic captured payment
gwe_fee_2042_0002,FEE,,set_2042_0002,12722,INR,2026-04-02T10:00:00+00:00,processed,set_2042_0002,Synthetic gateway fee
gwe_tax_2042_0002,TAX,,set_2042_0002,2289,INR,2026-04-02T10:00:00+00:00,processed,set_2042_0002,Synthetic GST on gateway fee
gwe_set_2042_0002,SETTLEMENT,,set_2042_0002,512889,INR,2026-04-02T10:00:00+00:00,settled,UTR204200000002,Synthetic net settlement
gwe_2042_000011,PAYMENT,pay_2042_000011,set_2042_0003,87800,INR,2026-04-03T10:00:00+00:00,captured,order_2042_000011,Synthetic captured payment
gwe_2042_000012,PAYMENT,pay_2042_000012,set_2042_0003,194200,INR,2026-04-03T10:00:00+00:00,captured,order_2042_000012,Synthetic captured payment
gwe_2042_000013,PAYMENT,pay_2042_000013,set_2042_0003,154500,INR,2026-04-03T10:00:00+00:00,captured,order_2042_000013,Synthetic captured payment
gwe_2042_000014,PAYMENT,pay_2042_000014,set_2042_0003,87400,INR,2026-04-03T10:00:00+00:00,captured,order_2042_000014,Synthetic captured payment
gwe_2042_000015,PAYMENT,pay_2042_000015,set_2042_0003,57600,INR,2026-04-03T10:00:00+00:00,captured,order_2042_000015,Synthetic captured payment
gwe_fee_2042_0003,FEE,,set_2042_0003,12560,INR,2026-04-03T10:00:00+00:00,processed,set_2042_0003,Synthetic gateway fee
gwe_tax_2042_0003,TAX,,set_2042_0003,2260,INR,2026-04-03T10:00:00+00:00,processed,set_2042_0003,Synthetic GST on gateway fee
gwe_set_2042_0003,SETTLEMENT,,set_2042_0003,566680,INR,2026-04-03T10:00:00+00:00,settled,UTR204200000003,Synthetic net settlement
gwe_2042_000016,PAYMENT,pay_2042_000016,set_2042_0004,124500,INR,2026-04-04T10:00:00+00:00,captured,order_2042_000016,Synthetic captured payment
gwe_2042_000017,PAYMENT,pay_2042_000017,set_2042_0004,123000,INR,2026-04-04T10:00:00+00:00,captured,order_2042_000017,Synthetic captured payment
gwe_2042_000018,PAYMENT,pay_2042_000018,set_2042_0004,39800,INR,2026-04-04T10:00:00+00:00,captured,order_2042_000018,Synthetic captured payment
gwe_2042_000019,PAYMENT,pay_2042_000019,set_2042_0004,37500,INR,2026-04-04T10:00:00+00:00,captured,order_2042_000019,Synthetic captured payment
gwe_2042_000020,PAYMENT,pay_2042_000020,set_2042_0004,77800,INR,2026-04-04T10:00:00+00:00,captured,order_2042_000020,Synthetic captured payment
gwe_fee_2042_0004,FEE,,set_2042_0004,10427,INR,2026-04-04T10:00:00+00:00,processed,set_2042_0004,Synthetic gateway fee
gwe_tax_2042_0004,TAX,,set_2042_0004,1876,INR,2026-04-04T10:00:00+00:00,processed,set_2042_0004,Synthetic GST on gateway fee
gwe_set_2042_0004,SETTLEMENT,,set_2042_0004,390297,INR,2026-04-04T10:00:00+00:00,settled,UTR204200000004,Synthetic net settlement
gwe_2042_000021,PAYMENT,pay_2042_000021,set_2042_0005,189200,INR,2026-04-05T10:00:00+00:00,captured,order_2042_000021,Synthetic captured payment
gwe_2042_000022,PAYMENT,pay_2042_000022,set_2042_0005,11900,INR,2026-04-05T10:00:00+00:00,captured,order_2042_000022,Synthetic captured payment
gwe_2042_000023,PAYMENT,pay_2042_000023,set_2042_0005,22700,INR,2026-04-05T10:00:00+00:00,captured,order_2042_000023,Synthetic captured payment
gwe_2042_000024,PAYMENT,pay_2042_000024,set_2042_0005,153500,INR,2026-04-05T10:00:00+00:00,captured,order_2042_000024,Synthetic captured payment
