bank_record_id,value_date,booking_date,credit_amount,debit_amount,utr,narration,currency,account_reference
bnk_3042_0001,2026-04-02,2026-04-02,5049.97,0.00,UTR304200000001,Synthetic settlement set_3042_0001,INR,acct_demo_01
bnk_3042_0002,2026-04-03,2026-04-03,5236.58,0.00,UTR304200000002,Synthetic settlement set_3042_0002,INR,acct_demo_01
bnk_3042_0003,2026-04-04,2026-04-04,3702.08,0.00,UTR304200000003,Synthetic settlement set_3042_0003,INR,acct_demo_01
bnk_3042_0004,2026-04-05,2026-04-05,4110.27,0.00,UTR304200000004,Synthetic settlement set_3042_0004,INR,acct_demo_01
bnk_3042_0005,2026-04-06,2026-04-06,3530.00,0.00,UTR304200000005,Synthetic settlement set_3042_0005,INR,acct_demo_01
bnk_3042_0006,2026-04-07,2026-04-07,6019.16,0.00,UTR304200000006,Synthetic settlement set_3042_0006,INR,acct_demo_01
bnk_3042_0007,2026-04-08,2026-04-08,3784.39,0.00,UTR304200000007,Synthetic settlement set_3042_0007,INR,acct_demo_01
bnk_3042_0008,2026-04-09,2026-04-09,2265.06,0.00,UTR304200000008,Synthetic settlement set_3042_0008,INR,acct_demo_01
bnk_3042_0009,2026-04-10,2026-04-10,4993.47,0.00,UTR304200000009,Synthetic settlement set_3042_0009,INR,acct_demo_01
bnk_3042_0010,2026-04-11,2026-04-11,4246.61,0.00,UTR304200000010,Synthetic settlement set_3042_0010,INR,acct_demo_01
bnk_3042_0011,2026-04-12,2026-04-12,2472.25,0.00,UTR304200000011,Synthetic settlement set_3042_0011,INR,acct_demo_01
bnk_3042_0012,2026-04-13,2026-04-13,3923.20,0.00,UTR304200000012,Synthetic settlement set_3042_0012,INR,acct_demo_01
bnk_3042_0013,2026-04-14,2026-04-14,4634.08,0.00,UTR304200000013,Synthetic settlement set_3042_0013,INR,acct_demo_01
bnk_3042_0014,2026-04-15,2026-04-15,5071.09,0.00,UTR304200000014,Synthetic settlement set_3042_0014,INR,acct_demo_01
bnk_orphan_3042_01,2026-04-02,2026-04-02,734.21,0.00,ORPHAN30420001,Synthetic bank credit without gateway or ERP evidence,INR,acct_demo_01
