journal_id,line_number,posting_date,account_code,debit_amount,credit_amount,currency,external_reference,narration
jrn_3042_0001,1,2026-04-02,110000,5049.97,0.00,INR,set_3042_0001,Synthetic bank receipt
jrn_3042_0001,2,2026-04-02,510000,117.83,0.00,INR,set_3042_0001,Synthetic gateway fee expense
jrn_3042_0001,3,2026-04-02,140000,21.20,0.00,INR,set_3042_0001,Synthetic input GST
jrn_3042_0001,4,2026-04-02,120000,0.00,5189.00,INR,set_3042_0001,Synthetic clearing credit
jrn_3042_0002,1,2026-04-03,110000,5236.58,0.00,INR,set_3042_0002,Synthetic bank receipt
jrn_3042_0002,2,2026-04-03,510000,99.51,0.00,INR,set_3042_0002,Synthetic gateway fee expense
jrn_3042_0002,3,2026-04-03,140000,17.91,0.00,INR,set_3042_0002,Synthetic input GST
jrn_3042_0002,4,2026-04-03,120000,0.00,5354.00,INR,set_3042_0002,Synthetic clearing credit
jrn_3042_0003,1,2026-04-04,110000,3702.08,0.00,INR,set_3042_0003,Synthetic bank receipt
jrn_3042_0003,2,2026-04-04,510000,76.21,0.00,INR,set_3042_0003,Synthetic gateway fee expense
jrn_3042_0003,3,2026-04-04,140000,13.71,0.00,INR,set_3042_0003,Synthetic input GST
jrn_3042_0003,4,2026-04-04,120000,0.00,3792.00,INR,set_3042_0003,Synthetic clearing credit
jrn_3042_0004,1,2026-04-05,110000,4110.27,0.00,INR,set_3042_0004,Synthetic bank receipt
jrn_3042_0004,2,2026-04-05,510000,78.59,0.00,INR,set_3042_0004,Synthetic gateway fee expense
jrn_3042_0004,3,2026-04-05,140000,14.14,0.00,INR,set_3042_0004,Synthetic input GST
jrn_3042_0004,4,2026-04-05,120000,0.00,4203.00,INR,set_3042_0004,Synthetic clearing credit
jrn_3042_0005,1,2026-04-06,110000,3530.99,0.00,INR,set_3042_0005,Synthetic bank receipt
jrn_3042_0005,2,2026-04-06,510000,77.12,0.00,INR,set_3042_0005,Synthetic gateway fee expense
jrn_3042_0005,3,2026-04-06,140000,13.88,0.00,INR,set_3042_0005,Synthetic input GST
jrn_3042_0005,4,2026-04-06,120000,0.00,3621.00,INR,set_3042_0005,Synthetic clearing credit
jrn_3042_0006,1,2026-04-07,110000,6019.16,0.00,INR,set_3042_0006,Synthetic bank receipt
jrn_3042_0006,2,2026-04-07,510000,112.58,0.00,INR,set_3042_0006,Synthetic gateway fee expense
jrn_3042_0006,3,2026-04-07,140000,20.26,0.00,INR,set_3042_0006,Synthetic input GST
jrn_3042_0006,4,2026-04-07,120000,0.00,6152.00,INR,set_3042_0006,Synthetic clearing credit
jrn_3042_0007,1,2026-04-08,110000,3784.39,0.00,INR,set_3042_0007,Synthetic bank receipt
jrn_3042_0007,2,2026-04-08,510000,96.28,0.00,INR,set_3042_0007,Synthetic gateway fee expense
jrn_3042_0007,3,2026-04-08,140000,17.33,0.00,INR,set_3042_0007,Synthetic input GST
