gateway_event_id,event_type,transaction_id,settlement_id,amount_minor,currency,event_at,status,reference,narration
gwe_3042_000001,PAYMENT,pay_3042_000001,set_3042_0001,151100,INR,2026-04-01T10:00:00+00:00,captured,order_3042_000001,Synthetic captured payment
gwe_3042_000002,PAYMENT,pay_3042_000002,set_3042_0001,161900,INR,2026-04-01T10:00:00+00:00,captured,order_3042_000002,Synthetic captured payment
gwe_3042_000003,PAYMENT,pay_3042_000003,set_3042_0001,138200,INR,2026-04-01T10:00:00+00:00,captured,order_3042_000003,Synthetic captured payment
gwe_3042_000004,PAYMENT,pay_3042_000004,set_3042_0001,64200,INR,2026-04-01T10:00:00+00:00,captured,order_3042_000004,Synthetic captured payment
gwe_3042_000005,PAYMENT,pay_3042_000005,set_3042_0001,6000,INR,2026-04-01T10:00:00+00:00,captured,order_3042_000005,Synthetic captured payment
gwe_fee_3042_0001,FEE,,set_3042_0001,11783,INR,2026-04-01T10:00:00+00:00,processed,set_3042_0001,Synthetic gateway fee
gwe_tax_3042_0001,TAX,,set_3042_0001,2120,INR,2026-04-01T10:00:00+00:00,processed,set_3042_0001,Synthetic GST on gateway fee
gwe_set_3042_0001,SETTLEMENT,,set_3042_0001,504997,INR,2026-04-01T10:00:00+00:00,settled,UTR304200000001,Synthetic net settlement
gwe_3042_000006,PAYMENT,pay_3042_000006,set_3042_0002,42300,INR,2026-04-02T10:00:00+00:00,captured,order_3042_000006,Synthetic captured payment
gwe_3042_000007,PAYMENT,pay_3042_000007,set_3042_0002,108600,INR,2026-04-02T10:00:00+00:00,captured,order_3042_000007,Synthetic captured payment
gwe_3042_000008,PAYMENT,pay_3042_000008,set_3042_0002,196900,INR,2026-04-02T10:00:00+00:00,captured,order_3042_000008,Synthetic captured payment
gwe_3042_000009,PAYMENT,pay_3042_000009,set_3042_0002,72100,INR,2026-04-02T10:00:00+00:00,captured,order_3042_000009,Synthetic captured payment
gwe_3042_000010,PAYMENT,pay_3042_000010,set_3042_0002,118000,INR,2026-04-02T10:00:00+00:00,captured,order_3042_000010,Synthetic captured payment
gwe_fee_3042_0002,FEE,,set_3042_0002,9951,INR,2026-04-02T10:00:00+00:00,processed,set_3042_0002,Synthetic gateway fee
gwe_tax_3042_0002,TAX,,set_3042_0002,1791,INR,2026-04-02T10:00:00+00:00,processed,set_3042_0002,Synthetic GST on gateway fee
gwe_set_3042_0002,SETTLEMENT,,set_3042_0002,523658,INR,2026-04-02T10:00:00+00:00,settled,UTR304200000002,Synthetic net settlement
gwe_3042_000011,PAYMENT,pay_3042_000011,set_3042_0003,168800,INR,2026-04-03T10:00:00+00:00,captured,order_3042_000011,Synthetic captured payment
gwe_3042_000012,PAYMENT,pay_3042_000012,set_3042_0003,131100,INR,2026-04-03T10:00:00+00:00,captured,order_3042_000012,Synthetic captured payment
gwe_3042_000013,PAYMENT,pay_3042_000013,set_3042_0003,57700,INR,2026-04-03T10:00:00+00:00,captured,order_3042_000013,Synthetic captured payment
gwe_3042_000014,PAYMENT,pay_3042_000014,set_3042_0003,21600,INR,2026-04-03T10:00:00+00:00,captured,order_3042_000014,Synthetic captured payment
gwe_fee_3042_0003,FEE,,set_3042_0003,7621,INR,2026-04-03T10:00:00+00:00,processed,set_3042_0003,Synthetic gateway fee
gwe_tax_3042_0003,TAX,,set_3042_0003,1371,INR,2026-04-03T10:00:00+00:00,processed,set_3042_0003,Synthetic GST on gateway fee
gwe_set_3042_0003,SETTLEMENT,,set_3042_0003,370208,INR,2026-04-03T10:00:00+00:00,settled,UTR304200000003,Synthetic net settlement
gwe_3042_000015,PAYMENT,pay_3042_000015,set_3042_0004,28600,INR,2026-04-04T10:00:00+00:00,captured,order_3042_000015,Synthetic captured payment
gwe_3042_000016,PAYMENT,pay_3042_000016,set_3042_0004,105300,INR,2026-04-04T10:00:00+00:00,captured,order_3042_000016,Synthetic captured payment
gwe_3042_000017,PAYMENT,pay_3042_000017,set_3042_0004,178800,INR,2026-04-04T10:00:00+00:00,captured,order_3042_000017,Synthetic captured payment
gwe_3042_000018,PAYMENT,pay_3042_000018,set_3042_0004,107600,INR,2026-04-04T10:00:00+00:00,captured,order_3042_000018,Synthetic captured payment
gwe_fee_3042_0004,FEE,,set_3042_0004,7859,INR,2026-04-04T10:00:00+00:00,processed,set_3042_0004,Synthetic gateway fee
