journal_id,line_number,posting_date,account_code,debit_amount,credit_amount,currency,external_reference,narration
jrn_0042_0001,1,2026-04-02,110000,3846.10,0.00,INR,set_0042_0001,Synthetic bank receipt
jrn_0042_0001,2,2026-04-02,510000,79.58,0.00,INR,set_0042_0001,Synthetic gateway fee expense
jrn_0042_0001,3,2026-04-02,140000,14.32,0.00,INR,set_0042_0001,Synthetic input GST
jrn_0042_0001,4,2026-04-02,120000,0.00,3940.00,INR,set_0042_0001,Synthetic clearing credit
jrn_0042_0002,1,2026-04-03,110000,4489.60,0.00,INR,set_0042_0002,Synthetic bank receipt
jrn_0042_0002,2,2026-04-03,510000,118.99,0.00,INR,set_0042_0002,Synthetic gateway fee expense
jrn_0042_0002,3,2026-04-03,140000,21.41,0.00,INR,set_0042_0002,Synthetic input GST
jrn_0042_0002,4,2026-04-03,120000,0.00,4630.00,INR,set_0042_0002,Synthetic clearing credit
jrn_0042_0003,1,2026-04-04,110000,5212.91,0.00,INR,set_0042_0003,Synthetic bank receipt
jrn_0042_0003,2,2026-04-04,510000,112.79,0.00,INR,set_0042_0003,Synthetic gateway fee expense
jrn_0042_0003,3,2026-04-04,140000,20.30,0.00,INR,set_0042_0003,Synthetic input GST
jrn_0042_0003,4,2026-04-04,120000,0.00,5346.00,INR,set_0042_0003,Synthetic clearing credit
jrn_0042_0004,1,2026-04-05,110000,5599.02,0.00,INR,set_0042_0004,Synthetic bank receipt
jrn_0042_0004,2,2026-04-05,510000,134.73,0.00,INR,set_0042_0004,Synthetic gateway fee expense
jrn_0042_0004,3,2026-04-05,140000,24.25,0.00,INR,set_0042_0004,Synthetic input GST
jrn_0042_0004,4,2026-04-05,120000,0.00,5758.00,INR,set_0042_0004,Synthetic clearing credit
jrn_0042_0005,1,2026-04-06,110000,8262.59,0.00,INR,set_0042_0005,Synthetic bank receipt
jrn_0042_0005,2,2026-04-06,510000,157.13,0.00,INR,set_0042_0005,Synthetic gateway fee expense
jrn_0042_0005,3,2026-04-06,140000,28.28,0.00,INR,set_0042_0005,Synthetic input GST
jrn_0042_0005,4,2026-04-06,120000,0.00,8448.00,INR,set_0042_0005,Synthetic clearing credit
jrn_0042_0006,1,2026-04-07,110000,6132.64,0.00,INR,set_0042_0006,Synthetic bank receipt
jrn_0042_0006,2,2026-04-07,510000,146.92,0.00,INR,set_0042_0006,Synthetic gateway fee expense
jrn_0042_0006,3,2026-04-07,140000,26.44,0.00,INR,set_0042_0006,Synthetic input GST
jrn_0042_0006,4,2026-04-07,120000,0.00,6306.00,INR,set_0042_0006,Synthetic clearing credit
jrn_0042_0007,1,2026-04-08,110000,4961.81,0.00,INR,set_0042_0007,Synthetic bank receipt
jrn_0042_0007,2,2026-04-08,510000,127.28,0.00,INR,set_0042_0007,Synthetic gateway fee expense
jrn_0042_0007,3,2026-04-08,140000,22.91,0.00,INR,set_0042_0007,Synthetic input GST
jrn_0042_0007,4,2026-04-08,120000,0.00,5112.00,INR,set_0042_0007,Synthetic clearing credit
jrn_0042_0008,1,2026-04-09,110000,5249.71,0.00,INR,set_0042_0008,Synthetic bank receipt
jrn_0042_0008,2,2026-04-09,510000,116.35,0.00,INR,set_0042_0008,Synthetic gateway fee expense
jrn_0042_0008,3,2026-04-09,140000,20.94,0.00,INR,set_0042_0008,Synthetic input GST
jrn_0042_0008,4,2026-04-09,120000,0.00,5387.00,INR,set_0042_0008,Synthetic clearing credit
jrn_0042_0009,1,2026-04-10,110000,3800.53,0.00,INR,set_0042_0009,Synthetic bank receipt
jrn_0042_0009,2,2026-04-10,510000,69.89,0.00,INR,set_0042_0009,Synthetic gateway fee expense
jrn_0042_0009,3,2026-04-10,140000,12.58,0.00,INR,set_0042_0009,Synthetic input GST
jrn_0042_0009,4,2026-04-10,120000,0.00,3883.00,INR,set_0042_0009,Synthetic clearing credit
jrn_0042_0010,1,2026-04-11,110000,4056.94,0.00,INR,set_0042_0010,Synthetic bank receipt
jrn_0042_0010,2,2026-04-11,510000,84.80,0.00,INR,set_0042_0010,Synthetic gateway fee expense
jrn_0042_0010,3,2026-04-11,140000,15.26,0.00,INR,set_0042_0010,Synthetic input GST
jrn_0042_0010,4,2026-04-11,120000,0.00,4157.00,INR,set_0042_0010,Synthetic clearing credit
jrn_0042_0011,1,2026-04-12,110000,4143.10,0.00,INR,set_0042_0011,Synthetic bank receipt
jrn_0042_0011,2,2026-04-12,510000,93.14,0.00,INR,set_0042_0011,Synthetic gateway fee expense
jrn_0042_0011,3,2026-04-12,140000,16.76,0.00,INR,set_0042_0011,Synthetic input GST
jrn_0042_0011,4,2026-04-12,120000,0.00,4253.00,INR,set_0042_0011,Synthetic clearing credit
jrn_0042_0012,1,2026-04-13,110000,6175.64,0.00,INR,set_0042_0012,Synthetic bank receipt
jrn_0042_0012,2,2026-04-13,510000,163.02,0.00,INR,set_0042_0012,Synthetic gateway fee expense
jrn_0042_0012,3,2026-04-13,140000,29.34,0.00,INR,set_0042_0012,Synthetic input GST
jrn_0042_0012,4,2026-04-13,120000,0.00,6368.00,INR,set_0042_0012,Synthetic clearing credit
jrn_0042_0013,1,2026-04-14,110000,4839.84,0.00,INR,set_0042_0013,Synthetic bank receipt
jrn_0042_0013,2,2026-04-14,510000,95.05,0.00,INR,set_0042_0013,Synthetic gateway fee expense
jrn_0042_0013,3,2026-04-14,140000,17.10,0.00,INR,set_0042_0013,Synthetic input GST
jrn_0042_0013,4,2026-04-14,120000,0.00,4951.00,INR,set_0042_0013,Synthetic clearing credit
jrn_0042_0014,1,2026-04-15,110000,3958.14,0.00,INR,set_0042_0014,Synthetic bank receipt
jrn_0042_0014,2,2026-04-15,510000,97.34,0.00,INR,set_0042_0014,Synthetic gateway fee expense
jrn_0042_0014,3,2026-04-15,140000,17.52,0.00,INR,set_0042_0014,Synthetic input GST
jrn_0042_0014,4,2026-04-15,120000,0.00,4073.00,INR,set_0042_0014,Synthetic clearing credit
jrn_0042_0015,1,2026-04-16,110000,5374.76,0.00,INR,set_0042_0015,Synthetic bank receipt
jrn_0042_0015,2,2026-04-16,510000,123.09,0.00,INR,set_0042_0015,Synthetic gateway fee expense
jrn_0042_0015,3,2026-04-16,140000,22.15,0.00,INR,set_0042_0015,Synthetic input GST
jrn_0042_0015,4,2026-04-16,120000,0.00,5520.00,INR,set_0042_0015,Synthetic clearing credit
jrn_0042_0016,1,2026-04-17,110000,2567.06,0.00,INR,set_0042_0016,Synthetic bank receipt
jrn_0042_0016,2,2026-04-17,510000,54.19,0.00,INR,set_0042_0016,Synthetic gateway fee expense
jrn_0042_0016,3,2026-04-17,140000,9.75,0.00,INR,set_0042_0016,Synthetic input GST
jrn_0042_0016,4,2026-04-17,120000,0.00,2631.00,INR,set_0042_0016,Synthetic clearing credit
jrn_0042_0018,1,2026-04-19,110000,3433.47,0.00,INR,set_0042_0018,Synthetic bank receipt
jrn_0042_0018,2,2026-04-19,510000,72.49,0.00,INR,set_0042_0018,Synthetic gateway fee expense
jrn_0042_0018,3,2026-04-19,140000,13.04,0.00,INR,set_0042_0018,Synthetic input GST
jrn_0042_0018,4,2026-04-19,120000,0.00,3519.00,INR,set_0042_0018,Synthetic clearing credit
jrn_0042_0019,1,2026-04-20,110000,4307.54,0.00,INR,set_0042_0019,Synthetic bank receipt
jrn_0042_0019,2,2026-04-20,510000,105.48,0.00,INR,set_0042_0019,Synthetic gateway fee expense
jrn_0042_0019,3,2026-04-20,140000,18.98,0.00,INR,set_0042_0019,Synthetic input GST
jrn_0042_0019,4,2026-04-20,120000,0.00,4432.00,INR,set_0042_0019,Synthetic clearing credit
jrn_0042_0020,1,2026-04-21,110000,3954.79,0.00,INR,set_0042_0020,Synthetic bank receipt
jrn_0042_0020,2,2026-04-21,510000,101.03,0.00,INR,set_0042_0020,Synthetic gateway fee expense
jrn_0042_0020,3,2026-04-21,140000,18.18,0.00,INR,set_0042_0020,Synthetic input GST
jrn_0042_0020,4,2026-04-21,120000,0.00,4074.00,INR,set_0042_0020,Synthetic clearing credit
jrn_0042_0021,1,2026-04-22,110000,6790.64,0.00,INR,set_0042_0021,Synthetic bank receipt
jrn_0042_0021,2,2026-04-22,510000,165.56,0.00,INR,set_0042_0021,Synthetic gateway fee expense
jrn_0042_0021,3,2026-04-22,140000,29.80,0.00,INR,set_0042_0021,Synthetic input GST
jrn_0042_0021,4,2026-04-22,120000,0.00,6986.00,INR,set_0042_0021,Synthetic clearing credit
jrn_0042_0022,1,2026-04-23,110000,6915.01,0.00,INR,set_0042_0022,Synthetic bank receipt
jrn_0042_0022,2,2026-04-23,510000,184.74,0.00,INR,set_0042_0022,Synthetic gateway fee expense
