gateway_event_id,event_type,transaction_id,settlement_id,amount_minor,currency,event_at,status,reference,narration
gwe_0042_000001,PAYMENT,pay_0042_000001,set_0042_0001,190100,INR,2026-04-01T10:00:00+00:00,captured,order_0042_000001,Synthetic captured payment
gwe_0042_000002,PAYMENT,pay_0042_000002,set_0042_0001,50100,INR,2026-04-01T10:00:00+00:00,captured,order_0042_000002,Synthetic captured payment
gwe_0042_000003,PAYMENT,pay_0042_000003,set_0042_0001,38600,INR,2026-04-01T10:00:00+00:00,captured,order_0042_000003,Synthetic captured payment
gwe_0042_000004,PAYMENT,pay_0042_000004,set_0042_0001,55300,INR,2026-04-01T10:00:00+00:00,captured,order_0042_000004,Synthetic captured payment
gwe_0042_000005,PAYMENT,pay_0042_000005,set_0042_0001,59900,INR,2026-04-01T10:00:00+00:00,captured,order_0042_000005,Synthetic captured payment
gwe_fee_0042_0001,FEE,,set_0042_0001,7958,INR,2026-04-01T10:00:00+00:00,processed,set_0042_0001,Synthetic gateway fee
gwe_tax_0042_0001,TAX,,set_0042_0001,1432,INR,2026-04-01T10:00:00+00:00,processed,set_0042_0001,Synthetic GST on gateway fee
gwe_set_0042_0001,SETTLEMENT,,set_0042_0001,384610,INR,2026-04-01T10:00:00+00:00,settled,UTR004200000001,Synthetic net settlement
gwe_0042_000006,PAYMENT,pay_0042_000006,set_0042_0002,153500,INR,2026-04-02T10:00:00+00:00,captured,order_0042_000006,Synthetic captured payment
gwe_0042_000007,PAYMENT,pay_0042_000007,set_0042_0002,66500,INR,2026-04-02T10:00:00+00:00,captured,order_0042_000007,Synthetic captured payment
gwe_0042_000008,PAYMENT,pay_0042_000008,set_0042_0002,74000,INR,2026-04-02T10:00:00+00:00,captured,order_0042_000008,Synthetic captured payment
gwe_0042_000009,PAYMENT,pay_0042_000009,set_0042_0002,7100,INR,2026-04-02T10:00:00+00:00,captured,order_0042_000009,Synthetic captured payment
gwe_0042_000010,PAYMENT,pay_0042_000010,set_0042_0002,161900,INR,2026-04-02T10:00:00+00:00,captured,order_0042_000010,Synthetic captured payment
gwe_fee_0042_0002,FEE,,set_0042_0002,11899,INR,2026-04-02T10:00:00+00:00,processed,set_0042_0002,Synthetic gateway fee
gwe_tax_0042_0002,TAX,,set_0042_0002,2141,INR,2026-04-02T10:00:00+00:00,processed,set_0042_0002,Synthetic GST on gateway fee
gwe_set_0042_0002,SETTLEMENT,,set_0042_0002,448960,INR,2026-04-02T10:00:00+00:00,settled,UTR004200000002,Synthetic net settlement
gwe_0042_000011,PAYMENT,pay_0042_000011,set_0042_0003,49900,INR,2026-04-03T10:00:00+00:00,captured,order_0042_000011,Synthetic captured payment
gwe_0042_000012,PAYMENT,pay_0042_000012,set_0042_0003,123500,INR,2026-04-03T10:00:00+00:00,captured,order_0042_000012,Synthetic captured payment
gwe_0042_000013,PAYMENT,pay_0042_000013,set_0042_0003,141300,INR,2026-04-03T10:00:00+00:00,captured,order_0042_000013,Synthetic captured payment
gwe_0042_000014,PAYMENT,pay_0042_000014,set_0042_0003,35000,INR,2026-04-03T10:00:00+00:00,captured,order_0042_000014,Synthetic captured payment
gwe_0042_000015,PAYMENT,pay_0042_000015,set_0042_0003,187400,INR,2026-04-03T10:00:00+00:00,captured,order_0042_000015,Synthetic captured payment
gwe_fee_0042_0003,FEE,,set_0042_0003,11279,INR,2026-04-03T10:00:00+00:00,processed,set_0042_0003,Synthetic gateway fee
gwe_tax_0042_0003,TAX,,set_0042_0003,2030,INR,2026-04-03T10:00:00+00:00,processed,set_0042_0003,Synthetic GST on gateway fee
gwe_set_0042_0003,SETTLEMENT,,set_0042_0003,521291,INR,2026-04-03T10:00:00+00:00,settled,UTR004200000003,Synthetic net settlement
gwe_0042_000016,PAYMENT,pay_0042_000016,set_0042_0004,85200,INR,2026-04-04T10:00:00+00:00,captured,order_0042_000016,Synthetic captured payment
gwe_0042_000017,PAYMENT,pay_0042_000017,set_0042_0004,155200,INR,2026-04-04T10:00:00+00:00,captured,order_0042_000017,Synthetic captured payment
gwe_0042_000018,PAYMENT,pay_0042_000018,set_0042_0004,186500,INR,2026-04-04T10:00:00+00:00,captured,order_0042_000018,Synthetic captured payment
gwe_0042_000019,PAYMENT,pay_0042_000019,set_0042_0004,96300,INR,2026-04-04T10:00:00+00:00,captured,order_0042_000019,Synthetic captured payment
gwe_0042_000020,PAYMENT,pay_0042_000020,set_0042_0004,52600,INR,2026-04-04T10:00:00+00:00,captured,order_0042_000020,Synthetic captured payment
gwe_fee_0042_0004,FEE,,set_0042_0004,13473,INR,2026-04-04T10:00:00+00:00,processed,set_0042_0004,Synthetic gateway fee
gwe_tax_0042_0004,TAX,,set_0042_0004,2425,INR,2026-04-04T10:00:00+00:00,processed,set_0042_0004,Synthetic GST on gateway fee
gwe_set_0042_0004,SETTLEMENT,,set_0042_0004,559902,INR,2026-04-04T10:00:00+00:00,settled,UTR004200000004,Synthetic net settlement
gwe_0042_000021,PAYMENT,pay_0042_000021,set_0042_0005,180800,INR,2026-04-05T10:00:00+00:00,captured,order_0042_000021,Synthetic captured payment
gwe_0042_000022,PAYMENT,pay_0042_000022,set_0042_0005,152600,INR,2026-04-05T10:00:00+00:00,captured,order_0042_000022,Synthetic captured payment
gwe_0042_000023,PAYMENT,pay_0042_000023,set_0042_0005,177100,INR,2026-04-05T10:00:00+00:00,captured,order_0042_000023,Synthetic captured payment
gwe_0042_000024,PAYMENT,pay_0042_000024,set_0042_0005,142600,INR,2026-04-05T10:00:00+00:00,captured,order_0042_000024,Synthetic captured payment
gwe_0042_000025,PAYMENT,pay_0042_000025,set_0042_0005,191700,INR,2026-04-05T10:00:00+00:00,captured,order_0042_000025,Synthetic captured payment
gwe_fee_0042_0005,FEE,,set_0042_0005,15713,INR,2026-04-05T10:00:00+00:00,processed,set_0042_0005,Synthetic gateway fee
gwe_tax_0042_0005,TAX,,set_0042_0005,2828,INR,2026-04-05T10:00:00+00:00,processed,set_0042_0005,Synthetic GST on gateway fee
gwe_set_0042_0005,SETTLEMENT,,set_0042_0005,826259,INR,2026-04-05T10:00:00+00:00,settled,UTR004200000005,Synthetic net settlement
gwe_0042_000026,PAYMENT,pay_0042_000026,set_0042_0006,157700,INR,2026-04-06T10:00:00+00:00,captured,order_0042_000026,Synthetic captured payment
